rmm_tool,rmm_binary
Chrome SSH Extension,*\users\*\appdata\local\google\chrome\user data\default\extensions\iodihamcpbpeioajjeobimgagajmlibd*
CloudFlare Tunnel,cloudflared*
CloudFlare Tunnel,cloudflared.exe
Comodo RMM,itsmagent.exe
Comodo RMM,rviewer.exe
ConnectWise Automate,ltsvc.exe
ConnectWise Automate,ltsvcmon.exe
ConnectWise Automate,lttray.exe
ConnectWise Control,connectwisechat-customer.exe
ConnectWise Control,*\screenconnect*client*\*
ConnectWise Control,*\program files (x86)\screenconnect client *\*
ConnectWise Control,screenconnect.windowsclient.exe
ConnectWise Control,connectwisecontrol.client.exe
CrossLoop,crossloopconnect.exe
CrossLoop,crossloopservice.exe
CrossLoop,winvncstub.exe
CrossTec Remote Control,pcivideo.exe
CrossTec Remote Control,supporttool.exe
DW Service,dwagent.exe
DW Service,dwagsvc.exe
DWService,dwagent.exe
DameWare,*\program files\solarwinds\dameware mini remote control\*
DameWare,solarwinds-dameware-mrc*.exe
DameWare,dameware mini remote control*.exe
DameWare,solarwinds-dameware-drs*.exe
DameWare,dwrcs.exe
DameWare,*\dwrcst.exe
DameWare,*\windows\dwrcs\*
DameWare,dntus*.exe
DameWare,dwrcst.exe
DameWare,*\dwrcs\*
DameWare,dameware remote support.exe
Datto RMM,cagservice.exe
Datto RMM,aemagent.exe
DeskDay,ultimate_*.exe
DeskShare,dsguest.exe
DeskShare,teamtaskmanager.exe
DesktopNow,desktopnow.exe
Devolutions Remote Desktop Manager,remotedesktopmanager.exe
Devolutions Remote Desktop Manager,*\program files\devolutions\remote desktop manager
Devolutions Remote Desktop Manager,*\remotedesktopmanager.exe
Distant Desktop,distant-desktop.exe
Distant Desktop,dd.exe
Distant Desktop,ddsystem.exe
Domotz,domotz.exe
Domotz,domotz pro desktop app setup*.exe
Domotz,domotz pro desktop app.exe
Domotz,domotz_bash.exe
Domotz,domotz-windows*.exe
Domotz,domotz*.exe
EMCO Remote Console,remoteconsole.exe
ESET Remote Administrator,ezhelp*.exe
ESET Remote Administrator,eratool.exe
ESET Remote Administrator,eraagent.exe
ESET Remote Administrator,era.exe
ESET Remote Administrator,einstaller.exe
Echoware,echoware.dll
Echoware,echoserver*.exe
Ericom AccessNow,accessserver*.exe
Ericom AccessNow,accessserver.exe
Ericom Connect,ericomconnectremotehost*.exe
Ericom Connect,ericomconnnectconfigurationtool.exe
FastViewer,fastclient.exe
FastViewer,fastmaster.exe
FastViewer,fastviewer.exe
Firefly,firefly
Firefly,firefly-*
FixMe.It,fixmeit*.exe
FixMe.it,tiexpertstandalone.exe
FixMe.it,tiexpertcore.exe
FixMe.it,ticlienthelper*.exe
FixMe.it,ticlientcore.exe
FixMe.it,fixmeitclient*.exe
FixMe.it,fixmeit unattended access setup.exe
FixMe.it,fixmeit expert setup.exe
FixMe.it,fixmeit client.exe
FixMe.it,fixmeitclient.exe
FixMe.it,9380cc75b872221a7425d7503565b67580407f60
FleetDeck,fleetdeck-agent-*.exe
FleetDeck,fleetdeck.exe
FleetDeck,fleetdeck-agent.exe
FleetDeck,fleetdeck-agent*.exe
FleetDeck,fleetdeck_agent*.exe
FleetDeck,fleetdeck-agent*.msi
FleetDeck,fleetdeck_agent_svc.exe
FleetDeck,fleetdeck-agent.mst
FleetDeck,fleetdeck-agent.msi
FleetDeck.io,fleetdeck_agent.exe
FleetDeck.io,fleetdeck_agent_svc.exe
FleetDeck.io,fleetdeck_commander_launcher.exe
FleetDeck.io,fleetdeck_commander_svc.exe
FleetDeck.io,fleetdeck_installer.exe
FreeNX,*\*\nxplayer.exe
FreeNX,nxplayer.exe
FreeNX,*\nxplayer.exe
GatherPlace-desktop sharing,gp5.exe
GatherPlace-desktop sharing,gp4.exe
GatherPlace-desktop sharing,gp3.exe
GetScreen,getscreen.exe
Getscreen.me,getscreen*.exe
GoTo Opener,*\goto opener
GoTo Opener,*\program files (x86)\goto opener
GoToAssist,g2a*.exe
GoToAssist,goto assist opener.exe
GoToAssist,gotoassist.exe
GoToAssist,g2ax_comm_customer.exe
GoToAssist,goto opener.exe
GoToAssist,g2mupdate.com
GoToAssist,g2mcomm.exe
GoToAssist (GoTo Resolve),*\goto machine installer\*
GoToAssist (GoTo Resolve),*\programfiles*\goto machine installer\*
GoToAssist (GoTo Resolve),*\goto\*
GoToAssist Agent Desktop Console,*\g2rdesktopconsole-x64.msi
GoToAssist Agent Desktop Console,*\*\g2rdesktopconsole-x64.msi
GoToMyPC,g2*.exe
GoToMyPC,program files (x86)\gotomypc\*
GoToMyPC,gotomypccrashhandler.exe
GoToMyPC,g2printh.exe
GoToMyPC,program files\gotomypc\*
GoToMyPC,g2mainh.exe
GoToMyPC,g2tray.exe
GoToMyPC,g2comm.exe
GoToMyPC,g2host.exe
GoToMyPC,g2fileh.exe
GoToMyPC,g2audioh.exe
GoToMyPC,g2vistahelper.exe
GoToMyPC,*\program files (x86)\gotomypc\*
GoToMyPC,g2svc.exe
GoToResolve,gotoresolveunattendedui.exe
GoToResolve,appdata\local\goto resolve applet\*
GoToResolve,gotoresolve.exe
GoToResolve,goto.resolve.alerts.monitor.app.exe
GoToResolve,gotoresolveunattendedupdater.exe
GoToResolve,goto.resolve.patchmanagement.client.exe
GoToResolve,gotoresolveloggerprocess.exe
GoToResolve,gotoresolveunattended.exe
GoToResolve,gotoresolveprocesschecker.exe
GoToResolve,gotoresolveservice.exe
GoToResolve,gotoresolveui.exe
GoToResolve,gotoresolvetools64.exe
GoToResolve,goto.resolve.antivirus.app.exe
GoToResolve,gotoresolvecrashhandler.exe
GoToResolve,program files (x86)\goto resolve unattended\*
GoToResolve,gotoresolve*.exe
GoToResolve,program files\goto resolve unattended\*
GotoHTTP,gotohttp_x64.exe
GotoHTTP,gotohttp.exe
GotoHTTP,gotohttp*.exe
GotoResolve,goto.resolve*.exe
Goverlan,*\pj technologies\govsrv\*
Goverlan,govsrv*.exe
Goverlan,govsrv.exe
Goverlan,goverrmc.exe
Goverlan,*\govsrv.exe
Goverlan,govagentx64.exe
Goverlan,govagentinstallhelper.exe
Goverlan,govreachclient.exe
Goverlan,*\program files (x86)\pj technologies\govsrv\*
Guacamole,guacd.exe
HelpBeam,helpbeam*.exe
HelpU,helpumanager.exe
HelpU,helpuupdater.exe
HelpU,helpu_install.exe
I'm InTouch,iit.exe
I'm InTouch,intouch.exe
I'm InTouch,i'm intouch go installer.exe
ISL Light,isllightservice.exe
ISL Light,isllight.exe
ISL Light,islalwaysonmonitor.exe
ISL Online,*\isl online\isl light*
ISL Online,isllightservice.exe
ISL Online,*\program files (x86)\isl online\isl light*
ISL Online,isllight.exe
ISL Online,isllightclient.exe
ISL Online,islalwaysonmonitor.exe
ISL Online,*\isllight.exe
ITSupport247 (ConnectWise),saazapsc.exe
Impero Connect,imperoclientsvc.exe
Instant Housecall,instanthousecall.exe
Instant Housecall,ihcserver.exe
Instant Housecall,hsloader.exe
Insync,*users\*\appdata\roaming\insync\app\insync.exe
Insync,*\users\username\appdata\roaming\insync\app\insync.exe
Insync,*\insync.exe
Insync,insync.exe
IntelliAdmin Remote Control,iadmin.exe
IntelliAdmin Remote Control,agent64.exe
IntelliAdmin Remote Control,agent32.exe
IntelliAdmin Remote Control,agent_setup_5.exe
IntelliAdmin Remote Control,intelliadmin.exe
Iperius Remote,iperius.exe
Iperius Remote,iperiusremote.exe
Itarian,rhost.exe
Itarian,rdesktop.exe
Itarian,raccess.exe
Itarian,itsmservice.exe
Itarian,itsmrsp.exe
Itarian,rmmservice.exe
Itarian,rviewer.exe
Itarian,comodoremotecontrol.exe
Itarian,itsmagent.exe
Itarian,itarianremoteaccesssetup.exe
Itarian Endpoint Manager,itarian*
Ivanti Remote Control,agentlessrc.exe
Ivanti Remote Control,arcui.exe
Ivanti Remote Control,ivantiremotecontrol.exe
Jump Cloud,jumpcloud*.exe
Jump Desktop,jumpupdater.exe
Jump Desktop,jumpconnect.exe
Jump Desktop,jumpdesktop.exe
Jump Desktop,jumpclient.exe
Jump Desktop,jumpconnect
Jump Desktop,jumpservice.exe
KHelpDesk,khelpdesk.exe
Kabuto,kabuto.app.runner.exe
Kabuto,kabutosetup.exe
Kabuto,kabuto.service.runner.exe
Kabuto,kabuto.installer.exe
Kaseya (VSA),*\program files (x86)\kaseya\
Kaseya (VSA),*\programdata\kaseya\
KickIdler,grabbertt*.msi
KickIdler,grabberem.*msi
LANDesk,*\tmcsvc.exe
LANDesk,*\softmon.exe
LANDesk,landeskagentbootstrap.exe
LANDesk,*\program files (x86)\landesk\*
LANDesk,issuser.exe
LANDesk,landeskportalmanager.exe
LANDesk,ldinv32.exe
LANDesk,ldsensors.exe
LANDesk,softmon.exe
LANDesk,tmcsvc.exe
LANDesk,*\landesk\*
LANDesk,*\issuser.exe
LabTeach (Connectwise Automate),ltsvc.exe
LabTech RMM (Now ConnectWise Automate),ltsvcmon.exe
LabTech RMM (Now ConnectWise Automate),ltsvc.exe
LabTech RMM (Now ConnectWise Automate),lttray.exe
Laplink Everywhere,laplinkeverywhere.exe
Laplink Everywhere,llrcservice.exe
Laplink Everywhere,oosysagent.exe
Laplink Everywhere,serverproxyservice.exe
Laplink Everywhere,laplink.exe
Laplink Everywhere,laplink-everywhere-setup*.exe
Laplink Everywhere or Syspectr,oosysagent.exe
Laplink Gold,tsircusr.exe
Laplink Gold,laplink.exe
Level.io,*\program files\level\*
Level.io,level
Level.io,level-remote-control-ffmpeg.exe
Level.io,level-windows-amd64.exe
Level.io,level.exe
Level.io,level*.exe
Lite Manager,*\program files\litemanager pro – viewer\*
Lite Manager,*\litemanager pro – viewer\*
Lite Manager,*\lmnoipserver.exe
Lite Manager,lmnoipserver.exe.
LiteManager,romserver.exe
LiteManager,romviewer.exe
LiteManager,lmnoipserver.exe
LiteManager,romfusclient.exe
LogMeIn,support-logmeinrescue*.exe
LogMeIn,logmein*.exe
LogMeIn,lmi*.exe
LogMeIn,*\users\*\appdata\local\logmein rescue applet\lmir*.tmp\lmi_rescue_srv.exe
LogMeIn,lmi_rescue.exe
LogMeIn,*\users\*\appdata\local\logmein rescue applet\lmir*.tmp\lmi_rescue.exe
LogMeIn,support-logmeinrescue.exe
MS QuickAssist,windows\system32\quickassist.exe
MS QuickAssist,quickassist.exe
MS QuickAssist,program files\windowsapps\microsoftcorporationii.quickassist_*
MSP360,cbb.exe
MSP360,cbbackupplan.exe
MSP360,remote desktop.exe
MSP360,cloud.backup.scheduler.exe
MSP360,cloudracmd.exe
MSP360,cloudrasd.exe
MSP360,cloudraservice.exe
MSP360,connect.exe
MSP360,cloud.backup.rm.service.exe
MSP360,cloudrautilities.exe
MSP360,online backup.exe
ManageEngine,manageengine_servicedesk_plus.exe
ManageEngine,dcagentregister.exe
ManageEngine,dcagentservice.exe
ManageEngine,dcagent*.exe
ManageEngine,installshield setup.exe
ManageEngine,manageengine_servicedesk_plus.bin
ManageEngine,*\program files (x86)\desktopcentral_agent\bin\*
ManageEngine,*\dcagentservice.exe
ManageEngine,manageengine_remote_access_plus.exe
ManageEngine,*\desktopcentral_agent\bin\*
MeshCenral,meshagent*
MeshCentral,/usr/local/mesh_services/meshagent/meshagent/*
MeshCentral,/usr/local/mesh_services/meshagent/*
MeshCentral,meshagent
MeshCentral,meshcentral*.exe
MeshCentral,meshagent.exe
MeshCentral,meshagent*.exe
Microsoft Quick Assist,quickassist.exe
Mikogo,mikogolauncher.exe
Mikogo,mikogo.exe
Mikogo,*\mikogo-screen-service.exe
Mikogo,*\mikogo-service.exe
Mikogo,*users\*\appdata\roaming\mikogo\*
Mikogo,*\users\*\appdata\roaming\mikogo\*
Mikogo,mikogo-starter.exe
Mikogo,mikogo-service.exe
Mikogo,mikogo-screen-service.exe
MioNet (Also known as WD Anywhere Access),mionetmanager.exe
MioNet (Also known as WD Anywhere Access),mionet.exe
MioNet (WD Anywhere Access),mionetmanager.exe
MioNet (WD Anywhere Access),mionet.exe
MobaXterm,*\mobatek\mobaxterm\*
MobaXterm,*\mobaxterm_installer_*.msi
MobaXterm,*\*\mobaxterm_installer_12.1.msi
Mocha VNC Lite,*\realvnc\vnc4\*
Mocha VNC Lite,this installs a modified vnc and cannot be blocked by path separate from vnc
Mouse Without Borders,*\program files (x86)\microsoft garage\mouse without borders\*
Mouse Without Borders,mousewithoutborders.exe
MyGreenPC,mygreenpc.exe
MyIVO,myivomanager.exe
MyIVO,myivomgr.exe
N-Able,agent_*_rw.exe
N-Able,basuptshelper.exe
N-Able,takecontroltechconsole-stable.exe
N-Able,winagent.exe
N-Able,baseclient.exe
N-Able,nablecommandpromptmanager32.exe
N-Able,basupapp.exe
N-Able,mspplatform\pme\installers\filecacheserviceagentsetup.exe
N-Able,nablecommandpromptmanager64.exe
N-Able,mspplatform\pme\installers\requesthandleragentsetup.exe
N-Able,basupsrvc.exe
N-Able,basupsrvccnfg.exe
N-Able,nablereactivemanagement.exe
N-Able,requesthandleragent.exe
N-Able,n-able technologies\windows agent\bin\agent.exe
N-Able,mspplatform\pme\pme.agent.exe
N-Able or BeAnyWhere,winagent.exe
N-Able or BeAnyWhere,nable*.exe
N-Able or BeAnyWhere,basuptshelper.exe
N-Able or BeAnyWhere,basupsrvccnfg.exe
N-Able or BeAnyWhere,basupapp*.exe
N-Able or BeAnyWhere,basupsrvc.exe
N-Able or BeAnyWhere,takecontrol*.exe
N-Able or BeAnyWhere,baseclient*.exe
N-Able or BeAnyWhere,baseclient.exe
N-Able or BeAnyWhere,bamanagement*.exe
N-Able or BeAnyWhere,baconsoleapp*.exe
N-Able or BeAnyWhere,agent_*_rw.exe
N-Able or BeAnyWhere,basup*.exe
N-Able or BeAnyWhere,pme.agent.exe
NTR Remote,ntrsupportpro_en.exe
Narrowlink,narrowlink*
Naverisk,agentsetup-*.exe
NetLock RMM,/usr/0x101_cyber_security/netlock_rmm/*
NetLock RMM,netlock_rmm_agent_installer.exe
NetLock RMM,*\program files\0x101 cyber security\netlock rmm\useragent\netlock_rmm_user_uac.exe
NetLock RMM,*\program files\0x101 cyber security\netlock rmm\useragent\netlock_rmm_user_process.exe
NetLock RMM,*\programdata\0x101 cyber security\netlock rmm\comm agent\*
NetLock RMM,/usr/local/bin/0x101_cyber_security/netlock_rmm/*
NetLock RMM,/library/application support/0x101_cyber_security/*
NetLock RMM,/var/0x101_cyber_security/*
NetLock RMM,netlock_rmm_agent_installer
NetSupport Manager,presentationhost.exe
NetSupport Manager,remcmdstub.exe
NetSupport Manager,nsm/support
NetSupport Manager,support
NetSupport Manager,pcicfgui.exe
NetSupport Manager,netsupport*.pkg
NetSupport Manager,client32.exe
NetSupport Manager,pcictlui.exe
NetSupport Manager,netsupportdna/systemagent/netsupport*.pkg
Netop Remote Control (Impero Connect),*\program files\danware data\netop packn deploy\*
Netop Remote Control (Impero Connect),*\danware data\netop packn deploy\*
Netop Remote Control (Impero Connect),*\netop remote control\*
Netop Remote Control (Impero Connect),ngstw32.exe
Netop Remote Control (Impero Connect),nhostsvc.exe
Netop Remote Control (Impero Connect),nhstw32.exe
Netop Remote Control (Impero Connect),nldrw32.exe
Netop Remote Control (Impero Connect),rmserverconsolemediator.exe
Netop Remote Control (Impero Connect),connect.backdrop.cloud*.exe
Netop Remote Control (Impero Connect),imperoclientsvc.exe
Netop Remote Control (Impero Connect),imperoinit.exe
Netop Remote Control (Impero Connect),netop ondemand.exe
Neturo,ntrntservice.exe
Neturo,neturo*.exe
Neturo,neturo.exe
Netviewer,netviewer.exe
Netviewer,netviewer*.exe
Netviewer,netview.exe
Netviewer (GoToMeet),netviewer.exe
Netviewer (GoToMeet),nvclient.exe
Ngrok,ngrok
Ngrok,*\*\ngrok.zip
Ngrok,ngrok*
Ngrok,*\ngrok*
Ngrok,ngrok.exe
NinjaOne (formerly NinjaRMM),*programdata\ninjarmmagent\*
NinjaRMM,ninjarmmagentpatcher.exe
NinjaRMM,ninjarmm-cli.exe
NinjaRMM,ninjarmm*.exe
NinjaRMM,ninjarmmagenpatcher.exe
NinjaRMM,ninjarmmagent.exe
NoMachine,nxservice.exe
NoMachine,nxprint
NoMachine,nxserver
NoMachine,nxsh
NoMachine,nxspool
NoMachine,nxssh
NoMachine,nxssh-agent
NoMachine,nxpost
NoMachine,nxtunctl
NoMachine,nxusbd
NoMachine,nxplayer.bin
NoMachine,nxexec.exe
NoMachine,nxssh-add
NoMachine,nxplayer
NoMachine,nxnode.bin
NoMachine,nxnode
NoMachine,nxservice64.exe
NoMachine,nxagent
NoMachine,nxauth
NoMachine,nxclient
NoMachine,nxplayer.exe
NoMachine,nxcodec.bin
NoMachine,nxesd
NoMachine,nxexec
NoMachine,nxfs
NoMachine,nxfsm
NoMachine,nxfsserver
NoMachine,nxkb
NoMachine,nxkeygen
NoMachine,nxlocate
NoMachine,nxlpd
NoMachine,nxserver.bin
NoMachine,nxclient.bin
NoMachine,nxd
NoMachine,nxd.exe
NoMachine,nomachine*.exe
NoMachine,nxservice*.ese
NoteOn-desktop sharing,nateonmain.exe
NoteOn-desktop sharing,nateon*.exe
NoteOn-desktop sharing,nateon.exe
OCS inventory,ocsservice.exe
OCS inventory,ocsinventory.exe
Onionshare,*\onionshare*.exe
Onionshare,onionshare*.exe
Onionshare,*\onionshare\*
Onionshare,*\program files (x86)\onionshare\*
Onionshare,onionshare-win*.msi
OptiTune,otservice.exe
OptiTune,otpowershell.exe
PDQ Connect,*\program files\realvnc\vnc server\*
PDQ Connect,*\realvnc\vnc server\*
PDQ Connect,pdqconnectupdater-*.msi
PDQ Connect,pdq-connect*.exe
PSEXEC (Clone),csexec.exe
PSEXEC (Clone),remcom.exe
PSEXEC (Clone),xcmd.exe
PSEXEC (Clone),remcomsvc.exe
PSEXEC (Clone),paexec.exe
PSEXEC (Clone),paexec-*.exe
PSEXEC (Clone),xcmdsvc.exe
Pandora RC (eHorus),ehorus_agent.exe
Pandora RC (eHorus),ehorus standalone.exe
Pandora RC (eHorus),ehorus*.exe
Panorama9,p9agent*.exe
Parallels Access,parallelsaccess-*.exe
Parallels Access,prl_deskctl_agent.exe
Parallels Access,prl_deskctl_wizard.exe
Parallels Access,prl_pm_service.exe
Parallels Access,tsclient.exe
Parsec,parsecd.exe
Parsec,*\program files\parsec\*
Parsec,pservice.exe
Pcnow,pcnmgr.exe
Pcnow,mwcliun.exe
Pcnow,webexpcnow.exe
Pcvisit,pcvisit_client.exe
Pcvisit,pcvisit_service_client.exe
Pcvisit,pcvisit-easysupport.exe
Pcvisit,pcvisit.exe
Pilixo,pilixo_installer*.exe
Pilixo,rdp.exe
Pocket Cloud (Wyse),pocketcloud*.exe
Pocket Cloud (Wyse),pocketcloudservice.exe
Pocket Controller,wysebrowser.exe
Pocket Controller,pocketcloudservice.exe
Pocket Controller,pocketcontroller.exe
Pocket Controller (Soti Xsight),pocketcontroller.exe
Pocket Controller (Soti Xsight),wysebrowser.exe
Pocket Controller (Soti Xsight),xsightservice.exe
PuTTY Tray,*\*\puttytray.exe
PuTTY Tray,*\puttytray.exe
PuTTY Tray,puttytray.exe
Pulseway,program files\pulseway\*
Pulseway,pcmonitorsrv.exe
Pulseway,pcmonitormanager.exe
Pulseway,pcmonitor*.exe
Pulseway,program files (x86)\pulseway\*
QQ IM-remote assistance,qq.exe
QQ IM-remote assistance,qqpcmgr.exe
QQ IM-remote assistance,qqprotect.exe
Quest KACE Agent (formerly Dell KACE),konea.exe
RAdmin,*\windows\syswow64\rserver30\famitrfc
RAdmin,*\program files (x86)\radmin viewer 3\radmin.exe
RAdmin,*\windows\syswow64\rserver30\famitrf2
RAdmin,rserver3.exe
RAdmin,*\windows\syswow64\rserver30\rserver3.exe
RAdmin,radmin.exe
RDPView,dwrcs.exe
RES Automation Manager,wmc_deployer.exe
RES Automation Manager,wisshell*.exe
RES Automation Manager,wmc.exe
RES Automation Manager,wmcsvc.exe
RPort,rport.exe
RS Clinet,rs.exe
RS Clinet,rs clinet.vshost.exe
RS Clinet,rs clinet.exe
Rapid7,rapid7_endpoint_broker.exe
Rapid7,rapid7_agent_core.exe
Rapid7,ir_agent.exe
RealVNC,realvnc connect setup.app
RealVNC,vnc-connect-installer*
RealVNC,vnc connect setup.app
RealVNC,realvnc-connect-installer*.exe
RealVNC,vnc-permissions-creator*.exe
RealVNC,vnc-permissions-creator*
RealVNC,realvnc-connect-installer*
RealVNC,vnc-connect-installer*.exe
Remobo,remobo_client.exe
Remobo,remobo.exe
Remobo,remobo_tracker.exe
Remote Desktop Plus,rdp.exe
Remote Manipulator System,rfusclient.exe
Remote Manipulator System,rutserv.exe
Remote Utilities,*\rutserv.exe
Remote Utilities,rutserv.exe
Remote Utilities,rutview.exe
Remote Utilities,*\remote utilities\*
Remote Utilities,*\program files\remote utilities\*
Remote Utilities,*\remote manipulator system - server\*
Remote.it,remoteit.exe
Remote.it,remote-it-installer.exe
Remote.it,remote.it.exe
RemoteCall,rxstartsupport.exe
RemoteCall,remotesupportplayeru.exe
RemoteCall,rcstartsupport.exe
RemoteCall,rcmgrsvc.exe
RemoteCall,rcengmgru.exe
RemoteCall,agentu.exe
RemoteCall,raautoup.exe
RemotePC,rpcsuite.exe
RemotePC,idrive.remotepcagent
RemotePC,*\remotepcservice.exe
RemotePC,remotepchost.exe
RemotePC,remotepc.exe
RemotePC,*\program files (x86)\remotepc\*
RemotePC,idrive.file-transfer
RemotePC,*\remotepc\*
RemotePC,remotepcservice.exe
RemoteView,remoteview.exe
RemoteView,rvagent.exe
RemoteView,rvagtray.exe
RemoteView,rv.exe
Resilio Active Anywhere,resilio-agent*
Resilio Active Anywhere,resilio*
Resilio Active Anywhere,rslagent*
Resilio Connect,resilio connect*.app
Resilio Connect,resilio-connect*
Resilio Connect Management Console,rslconsole*
Resilio Connect Server,srvctrl*
Resilio Sync,rslsync*
Resilio Sync,resilio-sync*
Resilio Tracker Server,tracker
Rocket Remote Desktop,rdconsole.exe
Rocket Remote Desktop,rocketremotedesktop_setup.exe
Royal Apps,royalserver.exe
Royal Apps,royalts.exe
Royal TS,royalts.exe
Rsocx,rsocx*
RuDesktop,rd.exe
RuDesktop,rudesktop*.exe
RustDesk,*\users\*\appdata\local\rustdesk\rustdesk.exe
RustDesk,*\program files\rustdesk
RustDesk,*\users\*\appdata\local\rustdesk\*
RustDesk,rustdesk*.exe
RustDesk,hbbr
RustDesk,rustdesk*
RustDesk,rustdesk.exe
RustDesk,rustdesk-utils*
RustDesk,rustdesk
RustDesk,"rustdesk-host=*,key=*.exe"
RustDesk,rustdesk-*.*.*-x86_64.exe
RustDesk,hbbs
RustDesk,rustdesk-*.*.*-x86_64.dmg
ScreenConnect,*\program files (x86)\screenconnect client *\*
ScreenConnect,*\screenconnect client*\*
ScreenConnect,connectwise*.exe
ScreenConnect,connectwisecontrol.clientsetup.sh
